CicloLectivoDesCorta,IdAlumno,Anio
2023-2,100036215,2023
2023-2,100036245,2023
2023-2,100036273,2023
2023-2,100036308,2023
2023-2,100036343,2023
2023-2,100036388,2023
2023-2,100036409,2023
2023-2,100036451,2023
2023-2,100036536,2023
2023-2,100036559,2023
2023-2,100036585,2023
2023-2,100036705,2023
2023-2,100036808,2023
2023-2,100036847,2023
2023-2,100036962,2023
2023-2,100037022,2023
2023-2,100037056,2023
2023-2,100037154,2023
2023-2,100037209,2023
2023-2,100037273,2023
2023-2,100037283,2023
2023-2,100037329,2023
2023-2,100037336,2023
2023-2,100037340,2023
2023-2,100037403,2023
2023-2,100037445,2023
2023-2,100037575,2023
2023-2,100037629,2023
2023-2,100037732,2023
2023-2,100037827,2023
2023-2,100037843,2023
2023-2,100037924,2023
2023-2,100038006,2023
2023-2,100038086,2023
2023-2,100038194,2023
2023-2,100038282,2023
2023-2,100038291,2023
2023-2,100038477,2023
2023-2,100038543,2023
2023-2,100038557,2023
2023-2,100038582,2023
2023-2,100038626,2023
2023-2,100038776,2023
2023-2,100038777,2023
2023-2,100038781,2023
2023-2,100038813,2023
2023-2,100038948,2023
2023-2,100038978,2023
2023-2,100038985,2023
2023-2,100039069,2023
2023-2,100039100,2023
2023-2,100039156,2023
2023-2,100039234,2023
2023-2,100039242,2023
2023-2,100039290,2023
2023-2,100039310,2023
2023-2,100039336,2023
2023-2,100039435,2023
2023-2,100039463,2023
2023-2,100039552,2023
2023-2,100039739,2023
2023-2,100039745,2023
2023-2,100039766,2023
2023-2,100039786,2023
2023-2,100039804,2023
2023-2,100039808,2023
2023-2,100039818,2023
2023-2,100039839,2023
2023-2,100039867,2023
2023-2,100039918,2023
2023-2,100039930,2023
2023-2,100039940,2023
2023-2,100039957,2023
2023-2,100040005,2023
2023-2,100040018,2023
2023-2,100040057,2023
2023-2,100040088,2023
2023-2,100040089,2023
2023-2,100040096,2023
2023-2,100040115,2023
2023-2,100040134,2023
2023-2,100040143,2023
2023-2,100040145,2023
2023-2,100040148,2023
2023-2,100040191,2023
2023-2,100040201,2023
2023-2,100040225,2023
2023-2,100040231,2023
2023-2,100040233,2023
2023-2,100040285,2023
