CicloLectivoDesCorta,IdAlumno,Anio
2022-2,100017671,2022
2022-2,100017706,2022
2022-2,100017710,2022
2022-2,100017760,2022
2022-2,100017808,2022
2022-2,100017814,2022
2022-2,100017886,2022
2022-2,100017897,2022
2022-2,100017997,2022
2022-2,100018050,2022
2022-2,100018154,2022
2022-2,100018177,2022
2022-2,100018189,2022
2022-2,100018551,2022
2022-2,100018623,2022
2022-2,100018909,2022
2022-2,100018938,2022
2022-2,100019016,2022
2022-2,100019017,2022
2022-2,100019043,2022
2022-2,100019072,2022
2022-2,100019141,2022
2022-2,100019174,2022
2022-2,100019193,2022
2022-2,100019204,2022
2022-2,100019291,2022
2022-2,100019328,2022
2022-2,100019368,2022
2022-2,100019413,2022
2022-2,100019414,2022
2022-2,100019568,2022
2022-2,100019596,2022
2022-2,100019601,2022
2022-2,100019635,2022
2022-2,100019686,2022
2022-2,100019704,2022
2022-2,100019707,2022
2022-2,100019709,2022
2022-2,100019778,2022
2022-2,100019786,2022
2022-2,100019858,2022
2022-2,100019890,2022
2022-2,100019908,2022
2022-2,100019911,2022
2022-2,100019921,2022
2022-2,100019960,2022
2022-2,100020034,2022
2022-2,100020102,2022
2022-2,100020124,2022
2022-2,100020148,2022
2022-2,100020186,2022
2022-2,100020193,2022
2022-2,100020227,2022
2022-2,100020254,2022
2022-2,100020272,2022
2022-2,100020311,2022
2022-2,100020372,2022
2022-2,100020415,2022
2022-2,100020435,2022
2022-2,100020483,2022
2022-2,100020573,2022
2022-2,100020575,2022
2022-2,100020577,2022
2022-2,100020605,2022
2022-2,100020609,2022
2022-2,100020682,2022
2022-2,100020735,2022
2022-2,100020784,2022
2022-2,100020814,2022
2022-2,100020845,2022
2022-2,100020968,2022
2022-2,100021091,2022
2022-2,100021134,2022
2022-2,100021141,2022
2022-2,100021145,2022
2022-2,100021177,2022
2022-2,100021219,2022
2022-2,100021233,2022
2022-2,100021242,2022
2022-2,100021279,2022
2022-2,100021462,2022
2022-2,100021500,2022
2022-2,100021532,2022
2022-2,100021543,2022
2022-2,100021604,2022
2022-2,100021618,2022
2022-2,100021660,2022
2022-2,100021666,2022
2022-2,100021710,2022
2022-2,100021724,2022
2022-2,100021748,2022
2022-2,100021754,2022
2022-2,100021782,2022
2022-2,100021835,2022
2022-2,100021865,2022
2022-2,100021881,2022
2022-2,100021887,2022
2022-2,100021890,2022
2022-2,100021909,2022
2022-2,100022174,2022
2022-2,100022205,2022
2022-2,100022221,2022
2022-2,100022237,2022
2022-2,100022253,2022
2022-2,100022263,2022
2022-2,100022272,2022
2022-2,100022284,2022
2022-2,100022297,2022
2022-2,100022302,2022
2022-2,100022326,2022
2022-2,100022332,2022
2022-2,100022393,2022
2022-2,100022517,2022
2022-2,100022520,2022
2022-2,100022525,2022
2022-2,100022539,2022
2022-2,100022542,2022
2022-2,100022547,2022
2022-2,100022577,2022
2022-2,100022595,2022
2022-2,100022650,2022
2022-2,100022826,2022
2022-2,100022829,2022
2022-2,100022830,2022
2022-2,100022856,2022
2022-2,100022889,2022
2022-2,100022961,2022
2022-2,100022972,2022
2022-2,100022980,2022
2022-2,100022981,2022
2022-2,100023075,2022
2022-2,100023088,2022
2022-2,100023185,2022
2022-2,100023193,2022
2022-2,100023220,2022
2022-2,100023238,2022
2022-2,100023239,2022
2022-2,100023246,2022
2022-2,100023335,2022
2022-2,100023352,2022
2022-2,100023366,2022
2022-2,100023370,2022
2022-2,100023432,2022
2022-2,100023470,2022
2022-2,100023499,2022
2022-2,100023502,2022
2022-2,100023503,2022
2022-2,100023521,2022
2022-2,100023557,2022
2022-2,100023595,2022
2022-2,100023604,2022
2022-2,100023641,2022
2022-2,100023658,2022
2022-2,100023692,2022
2022-2,100023693,2022
2022-2,100023736,2022
2022-2,100023756,2022
2022-2,100023810,2022
2022-2,100023812,2022
2022-2,100023815,2022
2022-2,100023834,2022
2022-2,100023900,2022
2022-2,100023924,2022
2022-2,100024069,2022
2022-2,100024139,2022
