IdAlumno,Genero,FechaNacimiento,Distrito,Provincia,Departamento,FamiliarResponsable,AnioNacimiento
100161749,F,2007-04-10,VICTOR LARCO HERRERA,TRUJILLO ,LA LIBERTAD,Padre,2007
100161750,M,2004-07-02,VILLA EL SALVADOR,LIMA ,LIMA,,2004
100161751,F,2005-11-13,TAMBO,LA MAR,AYACUCHO,,2005
100161752,F,2006-07-26,CARABAYLLO,LIMA ,LIMA,Madre,2006
100161753,F,1999-10-15,HUANTA,HUANTA,AYACUCHO,,1999
100161754,F,2006-06-03,SAN MARTÍN DE PORRES,LIMA ,LIMA,Madre,2006
100161755,M,2004-11-17,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,,2004
100161756,M,2006-04-13,SAN SEBASTIAN,CUSCO,CUSCO,Padre,2006
100161757,F,2006-04-03,ATE,LIMA ,LIMA,Apoderado,2006
100161758,M,2007-01-04,VILLA EL SALVADOR,LIMA ,LIMA,Padre,2007
100161759,F,2007-01-20,CHORRILLOS,LIMA ,LIMA,Padre,2007
100161760,F,2006-05-06,PUENTE PIEDRA,LIMA ,LIMA,Apoderado,2006
100161761,M,2000-05-18,SANTIAGO DE SURCO,LIMA ,LIMA,,2000
100161763,F,2006-10-29,CHORRILLOS,LIMA ,LIMA,Padre,2006
100161764,F,2006-10-19,ALONSO DE ALVARADO,LAMAS ,SAN MARTÍN,Madre,2006
100161765,F,2007-06-09,SAN MARTÍN DE PORRES,LIMA ,LIMA,Apoderado,2007
100161766,M,2006-07-26,TOTOS,CANGALLO,AYACUCHO,Madre,2006
100161767,F,2006-12-26,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,Madre,2006
100161768,M,2006-11-30,LAMBAYEQUE,LAMBAYEQUE ,LAMBAYEQUE,Madre,2006
100161770,F,2007-08-06,ATE,LIMA ,LIMA,Apoderado,2007
100161771,M,2005-09-12,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,,2005
100161772,M,2006-05-18,TAMBOPATA,TAMBOPATA ,MADRE DE DIOS,Padre,2006
100161773,M,2005-11-22,MARCABAL,SÁNCHEZ CARRIÓN ,LA LIBERTAD,,2005
100161774,F,2006-09-05,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,Madre,2006
100161775,F,2006-05-27,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Madre,2006
100161776,F,2005-12-16,TANTARA,CASTROVIRREYNA,HUANCAVELICA,,2005
100161777,F,2006-07-30,UCHIZA,TOCACHE ,SAN MARTÍN,Madre,2006
100161779,F,2006-12-17,SAN CLEMENTE,PISCO ,ICA,Madre,2006
100161780,F,2003-02-05,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,,2003
100161781,F,2006-01-01,EL TAMBO,HUANCAYO ,JUNÍN,,2006
100161782,F,2004-02-15,AQUIA,BOLOGNESI,ÁNCASH,,2004
100161783,M,2006-10-07,CHUPACA,CHUPACA ,JUNÍN,Madre,2006
100161784,F,2006-12-12,ONGOY,CHINCHEROS,APURÍMAC,Madre,2006
100161785,F,2006-03-06,PARDO MIGUEL,RIOJA ,SAN MARTÍN,Madre,2006
100161786,F,2006-08-20,MARISCAL CASTILLA,CONCEPCIÓN ,JUNÍN,Padre,2006
100161787,F,2006-07-04,CARABAYLLO,LIMA ,LIMA,Madre,2006
100161788,F,2006-12-29,CATACAOS,PIURA ,PIURA,Apoderado,2006
100161789,M,2000-12-29,HUANTA,HUANTA,AYACUCHO,,2000
100161790,F,2007-03-18,ATE,LIMA ,LIMA,Madre,2007
100161791,F,2006-03-23,HUANCARAYLLA,VÍCTOR FAJARDO,AYACUCHO,Madre,2006
100161792,F,2007-02-07,PICHANAQUI,CHANCHAMAYO ,JUNÍN,Madre,2007
100161793,M,2006-10-20,LA BANDA DE SHILCAYO,SAN MARTÍN ,SAN MARTÍN,Madre,2006
100161794,F,2006-05-04,SANTA ROSA,JAÉN,CAJAMARCA,Padre,2006
100161795,F,2006-02-16,HUANCAYO,HUANCAYO ,JUNÍN,Madre,2006
100161796,M,2005-08-02,CHAPIMARCA,AYMARAES,APURÍMAC,,2005
100161797,F,2006-05-25,PUENTE PIEDRA,LIMA ,LIMA,Apoderado,2006
100161798,F,2007-02-25,CASTILLA,PIURA ,PIURA,Madre,2007
100161799,F,2004-04-20,CHORRILLOS,LIMA ,LIMA,,2004
100161800,M,1997-10-30,AMBO,AMBO,HUÁNUCO,,1997
100161801,F,2005-11-12,CARABAYLLO,LIMA ,LIMA,,2005
100161802,M,2004-04-10,VENTANILLA,PROV. CONST. DEL CALLAO,CALLAO,,2004
100161803,F,2006-06-07,PEDRO VILCA APAZA,SAN ANTONIO DE PUTINA ,PUNO,Madre,2006
100161804,F,2007-05-31,PAUCARPATA,AREQUIPA,AREQUIPA,Padre,2007
100161805,M,1998-08-08,ANCO_HUALLO,CHINCHEROS,APURÍMAC,,1998
100161806,F,2005-04-28,BAGUA GRANDE,UTCUBAMBA,AMAZONAS,,2005
100161807,M,2004-08-16,EL PORVENIR,TRUJILLO ,LA LIBERTAD,,2004
100161808,M,2007-02-12,PEDRO GÁLVEZ,SAN MARCOS,CAJAMARCA,Madre,2007
100161809,M,2007-05-25,CHOROS,CUTERVO,CAJAMARCA,Apoderado,2007
100161810,F,2005-08-09,PACHACAMAC,LIMA ,LIMA,,2005
100161811,F,2005-12-02,COMAS,LIMA ,LIMA,,2005
100161812,F,2006-04-14,CARABAYLLO,LIMA ,LIMA,Madre,2006
100161813,F,2001-09-04,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,,2001
