IdAlumno,Prediccion,Edad,Genero,Distrito,Provincia,Departamento,FamiliarResponsable,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,ExcedeMitadCursosDesaprobados,GrupoEdad,ExcedePagosAtrasados,TipoColegio,Desercion
100138486,1,19.0,F,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,9,9,SI,NO,Entre18y25,0.0,PRIV,0
100138488,0,19.0,F,LIMA,LIMA ,LIMA,Alumno,3,3,NO,NO,Entre18y25,0.0,PRIV,0
100138491,0,20.0,M,SUPE,BARRANCA ,LIMA,Alumno,3,0,NO,NO,Entre18y25,0.0,PRIV,0
100138496,0,17.0,F,ATE,LIMA ,LIMA,Madre,9,3,SI,NO,MenosDe18,0.0,PRIV,0
100138498,0,22.0,M,SAN MARTÍN DE PORRES,LIMA ,LIMA,Alumno,2,2,NO,NO,Entre18y25,0.0,PRIV,1
100138501,0,18.0,F,SANTIAGO DE SURCO,LIMA ,LIMA,Apoderado,3,3,NO,NO,MenosDe18,0.0,PRIV,0
100138502,0,18.0,F,COMAS,LIMA ,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PRIV,0
100138505,1,24.0,M,COMAS,LIMA ,LIMA,Alumno,9,9,SI,NO,Entre18y25,0.0,PRIV,1
100138508,0,23.0,F,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,Alumno,0,0,NO,NO,Entre18y25,0.0,PRIV,0
100138509,0,18.0,M,LURIN,LIMA ,LIMA,Apoderado,0,2,NO,NO,MenosDe18,0.0,PRIV,0
100138519,0,20.0,F,SAN MARTÍN DE PORRES,LIMA ,LIMA,Alumno,9,0,NO,NO,Entre18y25,0.0,PRIV,0
100138521,0,19.0,F,SAN BORJA,LIMA ,LIMA,Alumno,9,3,NO,NO,Entre18y25,0.0,PRIV,0
100138523,0,18.0,F,SANTA CRUZ DE COCACHACRA,HUAROCHIRÍ ,LIMA,Madre,6,3,SI,NO,MenosDe18,1.0,PRIV,0
100138524,1,18.0,F,VILLA EL SALVADOR,LIMA ,LIMA,Madre,12,9,SI,NO,MenosDe18,0.0,PRIV,1
100138525,0,19.0,M,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,9,6,SI,NO,Entre18y25,0.0,PRIV,0
100138529,0,26.0,M,ATE,LIMA ,LIMA,Alumno,9,0,NO,NO,Mayor25,0.0,PUBL,0
100138530,1,17.0,M,SAN MARCOS,HUARI,ÁNCASH,Padre,18,18,SI,SI,MenosDe18,0.0,PRIV,1
100138531,0,18.0,F,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,Madre,0,0,NO,NO,MenosDe18,1.0,PRIV,0
100138543,0,23.0,F,LOS OLIVOS,LIMA ,LIMA,Alumno,9,3,SI,NO,Entre18y25,0.0,PRIV,0
100138547,1,19.0,F,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,Alumno,3,9,SI,NO,Entre18y25,1.0,PRIV,0
100138549,1,18.0,M,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Madre,4,8,SI,NO,MenosDe18,1.0,PUBL,1
100138552,0,17.0,M,ATE,LIMA ,LIMA,Padre,6,6,SI,NO,MenosDe18,0.0,PRIV,1
100138553,1,19.0,F,ATE,LIMA ,LIMA,Alumno,18,18,SI,SI,Entre18y25,0.0,PUBL,1
100138555,0,22.0,F,CHORRILLOS,LIMA ,LIMA,Alumno,6,0,SI,NO,Entre18y25,1.0,PUBL,1
100138560,1,19.0,F,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,18,18,SI,SI,Entre18y25,0.0,PRIV,1
100138591,1,19.0,F,SAN MIGUEL,LIMA ,LIMA,Apoderado,12,18,SI,NO,Entre18y25,0.0,PUBL,1
100138595,0,18.0,F,SAN MIGUEL,LIMA ,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PUBL,0
100138599,0,31.0,F,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,2,2,NO,NO,Mayor25,0.0,PUBL,0
100138600,0,21.0,M,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,Alumno,3,3,SI,NO,Entre18y25,0.0,PUBL,0
100138604,0,20.0,F,COMAS,LIMA ,LIMA,Alumno,0,3,NO,NO,Entre18y25,1.0,PUBL,0
100138605,0,33.0,F,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,Alumno,0,0,NO,NO,Mayor25,0.0,PUBL,0
100138609,0,17.0,M,ATE,LIMA ,LIMA,Madre,3,3,NO,NO,MenosDe18,0.0,PUBL,0
100138622,0,22.0,F,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,Alumno,3,0,NO,NO,Entre18y25,0.0,PRIV,0
100138628,0,18.0,F,LOS OLIVOS,LIMA ,LIMA,Madre,2,2,NO,NO,MenosDe18,0.0,PRIV,1
100138631,1,20.0,F,CARABAYLLO,LIMA ,LIMA,Alumno,18,18,SI,SI,Entre18y25,0.0,PUBL,1
100138634,0,18.0,M,LIMA,LIMA ,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PUBL,0
100138636,0,18.0,F,CHORRILLOS,LIMA ,LIMA,Padre,6,6,SI,NO,MenosDe18,0.0,PUBL,1
100138637,0,17.0,F,VILLA EL SALVADOR,LIMA ,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PUBL,0
100138642,0,17.0,F,PUNTA HERMOSA,LIMA ,LIMA,Padre,0,0,NO,NO,MenosDe18,0.0,PRIV,0
100138644,0,16.0,M,ATE,LIMA,LIMA,Apoderado,4,4,NO,NO,MenosDe18,0.0,PUBL,1
100138645,1,17.0,F,CARABAYLLO,LIMA ,LIMA,Madre,12,6,SI,NO,MenosDe18,0.0,PRIV,0
100138668,0,20.0,F,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,Alumno,6,3,NO,NO,Entre18y25,0.0,PUBL,0
100138690,1,17.0,F,COMAS,LIMA ,LIMA,Madre,9,9,SI,NO,MenosDe18,1.0,PRIV,0
100138691,0,18.0,F,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,Apoderado,6,0,NO,NO,MenosDe18,0.0,PRIV,0
100138693,0,23.0,F,BARRANCA,BARRANCA ,LIMA,Alumno,0,0,NO,NO,Entre18y25,0.0,PRIV,0
100138698,1,24.0,M,PACHACAMAC,LIMA ,LIMA,Alumno,15,15,SI,SI,Entre18y25,0.0,PUBL,1
100138745,0,22.0,F,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,6,3,SI,NO,Entre18y25,0.0,PRIV,0
100138762,1,17.0,M,CHORRILLOS,LIMA ,LIMA,Madre,12,15,SI,NO,MenosDe18,0.0,PRIV,1
100138767,1,26.0,M,ATE,LIMA ,LIMA,Alumno,28,28,SI,SI,Mayor25,0.0,PRIV,1
100138769,0,18.0,F,CHORRILLOS,LIMA ,LIMA,Madre,0,0,NO,NO,MenosDe18,0.0,PUBL,0
100138797,1,20.0,F,COMAS,LIMA ,LIMA,Alumno,6,6,SI,SI,Entre18y25,0.0,PRIV,1
100138798,0,18.0,M,SAN MARTÍN DE PORRES,LIMA ,LIMA,Apoderado,8,28,SI,NO,MenosDe18,0.0,PRIV,1
100138799,1,18.0,F,INDEPENDENCIA,LIMA ,LIMA,Apoderado,9,9,SI,NO,MenosDe18,0.0,PRIV,1
