,IdAlumno,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,CantCursosDesaprobados,CantCursos,ExcedeMitadCursosDesaprobados,ProgramaAlu
2184,100062019,3,3,NO,1,6,NO,Ing. de Sistemas Empresariales
2185,100062035,0,0,NO,0,3,NO,Arquitectura y Urb Ambiental
2186,100062066,0,1,NO,0,7,NO,Farmacia y Bioquímica
2187,100062090,4,4,SI,4,4,SI,Administracion de Empresas
2188,100062134,0,1,NO,0,3,NO,Medicina Humana
2189,100062142,2,0,NO,0,3,NO,Estomatología
2190,100062174,3,4,NO,2,5,NO,Medic Veterinaria y Zootecnia
2191,100062241,0,0,NO,0,7,NO,Comunicación y Publicidad
2192,100062276,0,0,NO,0,7,NO,Artes Escénicas
2193,100062284,2,3,NO,0,7,NO,Ingeniería Ambiental
2194,100062288,1,0,NO,0,6,NO,Derecho
2195,100062307,0,0,NO,0,6,NO,Estomatología
2196,100062358,1,1,NO,1,4,NO,Administracion de Empresas
2197,100062385,3,3,SI,3,4,SI,Estomatología
2198,100062433,2,1,NO,0,6,NO,Ing. Económica y de Negocios
2199,100062435,2,2,SI,1,6,NO,Biología Marina
2200,100062439,0,0,NO,0,4,NO,Estomatología
2201,100062440,0,0,NO,0,5,NO,Ing. Económica y de Negocios
2202,100062483,0,1,NO,0,2,NO,Marketing y Administración
2203,100062492,1,1,SI,1,4,NO,Medicina Humana
2204,100062500,2,2,NO,0,3,NO,Medicina Humana
2205,100062514,0,0,NO,0,7,NO,Comunicación y Publicidad
2206,100062520,3,3,NO,1,7,NO,Farmacia y Bioquímica
2207,100062534,0,0,NO,0,7,NO,Nutrición y Dietética
2208,100062555,2,4,SI,1,5,NO,Biología Marina
2209,100062566,2,3,NO,1,3,NO,Medic Veterinaria y Zootecnia
2210,100062571,2,1,NO,0,5,NO,Administracion de Empresas
2211,100062614,0,1,NO,0,7,NO,Administracion de Empresas
2212,100062680,2,2,NO,0,6,NO,Medic Veterinaria y Zootecnia
2213,100062681,0,0,NO,0,4,NO,Medicina Humana
2214,100062682,0,0,NO,0,5,NO,Psicología
2215,100062706,1,0,NO,0,3,NO,Medicina Humana
2216,100062717,2,1,NO,1,3,NO,Medicina Humana
2217,100062724,0,0,NO,0,4,NO,Administracion de Empresas
2218,100062725,1,2,SI,0,4,NO,Medicina Humana
2219,100062727,0,0,NO,0,6,NO,Biología Marina
2220,100062730,1,0,NO,0,6,NO,Medic Veterinaria y Zootecnia
2221,100062741,3,3,NO,0,8,NO,Medic Veterinaria y Zootecnia
2222,100062759,3,2,NO,0,3,NO,Medicina Humana
2223,100062792,3,1,NO,0,4,NO,Medicina Humana
2224,100062803,0,0,NO,0,4,NO,Medicina Humana
2225,100062857,1,0,NO,0,7,NO,Farmacia y Bioquímica
