IdAlumno,Prediccion,Prediccion_Probabilidad,Edad,Genero,Distrito,Provincia,Departamento,FamiliarResponsable,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,ExcedeMitadCursosDesaprobados,GrupoEdad,ExcedePagosAtrasados,TipoColegio,Desercion
100140267,0,0.15117509414746125,21.0,M,LOS OLIVOS,LIMA ,LIMA,Alumno,0,0,NO,NO,Entre18y25,0.0,PRIV,0
100140281,0,0.26459211293385665,17.0,F,VILLA EL SALVADOR,LIMA ,LIMA,Apoderado,1,0,NO,NO,MenosDe18,0.0,PUBL,0
100140303,0,0.1707673549195426,19.0,F,SANTIAGO DE SURCO,LIMA ,LIMA,Alumno,1,1,SI,NO,Entre18y25,0.0,PRIV,1
100140323,0,0.1434290686558045,18.0,F,COMAS,LIMA ,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PRIV,1
100140325,0,0.2321711800313007,18.0,F,VILLA EL SALVADOR,LIMA ,LIMA,Padre,3,0,NO,NO,MenosDe18,0.0,PRIV,0
100140418,0,0.1995554843343105,18.0,F,LOS OLIVOS,LIMA ,LIMA,Padre,2,2,NO,NO,MenosDe18,0.0,PRIV,1
100140421,1,0.4041551147704568,23.0,M,PUENTE PIEDRA,LIMA ,LIMA,Alumno,2,0,NO,NO,Entre18y25,1.0,PRIV,0
100140453,0,0.20139866493203462,17.0,F,VILLA EL SALVADOR,LIMA ,LIMA,Madre,2,0,NO,NO,MenosDe18,0.0,PRIV,0
100140464,0,0.15362387082206622,20.0,F,LURIN,LIMA ,LIMA,Alumno,1,0,NO,NO,Entre18y25,0.0,PRIV,0
100140470,1,0.4475245361452908,25.0,M,LOS OLIVOS,LIMA ,LIMA,Madre,2,2,SI,NO,Mayor25,0.0,PRIV,0
100140472,0,0.17820320133821327,21.0,F,PUENTE PIEDRA,LIMA ,LIMA,Alumno,1,1,NO,NO,Entre18y25,0.0,PRIV,0
100140474,1,0.9148682050662879,20.0,F,CARABAYLLO,LIMA ,LIMA,Madre,2,4,NO,NO,Entre18y25,1.0,PUBL,1
